vi	V(vgs)	V(n002)	Id(M1)
Step Information: Vdd=0  (Step: 1/21)
1.200000000000000e+01	9.181330e+00	1.200000e+01	3.818668e+03
1.300000000000000e+01	9.086143e+00	1.300000e+01	3.913840e+03
1.400000000000000e+01	9.023554e+00	1.400000e+01	3.973252e+03
1.500000000000000e+01	8.978870e+00	1.500000e+01	4.020185e+03
1.600000000000000e+01	8.944676e+00	1.600000e+01	4.055006e+03
1.700000000000000e+01	8.917554e+00	1.700000e+01	4.082305e+03
1.800000000000000e+01	8.895449e+00	1.800000e+01	4.104481e+03
1.900000000000000e+01	8.877048e+00	1.900000e+01	4.122915e+03
2.000000000000000e+01	8.861467e+00	2.000000e+01	4.138512e+03
Step Information: Vdd=14  (Step: 15/21)
0.000000000000000e+00	1.400000e+01	0.000000e+00	1.894781e-11
1.000000000000000e+00	1.400000e+01	1.000000e+00	1.894786e-11
2.000000000000000e+00	1.400000e+01	2.000000e+00	2.432300e-08
3.000000000000000e+00	1.399731e+01	3.000000e+00	2.687081e+00
4.000000000000000e+00	1.384786e+01	4.000000e+00	1.521361e+02
5.000000000000000e+00	1.353104e+01	5.000000e+00	4.689584e+02
6.000000000000000e+00	1.311149e+01	6.000000e+00	8.897350e+02
7.000000000000000e+00	1.262004e+01	7.000000e+00	1.380577e+03
8.000000000000000e+00	1.207765e+01	8.000000e+00	1.922667e+03
9.000000000000000e+00	1.149698e+01	9.000000e+00	2.503203e+03
1.000000000000000e+01	1.088685e+01	1.000000e+01	3.113258e+03
1.100000000000000e+01	1.025373e+01	1.100000e+01	3.746332e+03
1.200000000000000e+01	9.939188e+00	1.200000e+01	4.060810e+03
1.300000000000000e+01	9.813735e+00	1.300000e+01	4.185845e+03
1.400000000000000e+01	9.736915e+00	1.400000e+01	4.263083e+03
1.500000000000000e+01	9.683123e+00	1.500000e+01	4.315303e+03
1.600000000000000e+01	9.643059e+00	1.600000e+01	4.356392e+03
1.700000000000000e+01	9.611677e+00	1.700000e+01	4.388108e+03
1.800000000000000e+01	9.586334e+00	1.800000e+01	4.413563e+03
1.900000000000000e+01	9.565387e+00	1.900000e+01	4.434560e+03
2.000000000000000e+01	9.547750e+00	2.000000e+01	4.452221e+03
Step Information: Vdd=15  (Step: 16/21)
0.000000000000000e+00	1.500000e+01	0.000000e+00	2.013204e-11
1.000000000000000e+00	1.500000e+01	1.000000e+00	2.013209e-11
2.000000000000000e+00	1.500000e+01	2.000000e+00	2.453737e-08
3.000000000000000e+00	1.499729e+01	3.000000e+00	2.710093e+00
4.000000000000000e+00	1.484680e+01	4.000000e+00	1.532038e+02
5.000000000000000e+00	1.452817e+01	5.000000e+00	4.718288e+02
6.000000000000000e+00	1.410658e+01	6.000000e+00	8.946598e+02
7.000000000000000e+00	1.361298e+01	7.000000e+00	1.387636e+03
8.000000000000000e+00	1.306841e+01	8.000000e+00	1.931902e+03
9.000000000000000e+00	1.248554e+01	9.000000e+00	2.514638e+03
1.000000000000000e+01	1.187320e+01	1.000000e+01	3.126913e+03
1.100000000000000e+01	1.123784e+01	1.100000e+01	3.762229e+03
1.200000000000000e+01	1.072556e+01	1.200000e+01	4.274434e+03
1.300000000000000e+01	1.055121e+01	1.300000e+01	4.444567e+03
1.400000000000000e+01	1.045555e+01	1.400000e+01	4.544435e+03
1.500000000000000e+01	1.039085e+01	1.500000e+01	4.606288e+03
1.600000000000000e+01	1.034389e+01	1.600000e+01	4.655181e+03
1.700000000000000e+01	1.030762e+01	1.700000e+01	4.692049e+03
1.800000000000000e+01	1.027863e+01	1.800000e+01	4.721221e+03
1.900000000000000e+01	1.025485e+01	1.900000e+01	4.745074e+03
2.000000000000000e+01	1.023495e+01	2.000000e+01	4.765008e+03
Step Information: Vdd=16  (Step: 17/21)
0.000000000000000e+00	1.600000e+01	0.000000e+00	2.131628e-11
1.000000000000000e+00	1.600000e+01	1.000000e+00	2.131633e-11
2.000000000000000e+00	1.600000e+01	2.000000e+00	2.475175e-08
3.000000000000000e+00	1.599727e+01	3.000000e+00	2.733096e+00
4.000000000000000e+00	1.584573e+01	4.000000e+00	1.542680e+02
5.000000000000000e+00	1.552532e+01	5.000000e+00	4.746853e+02
6.000000000000000e+00	1.510170e+01	6.000000e+00	8.995558e+02
7.000000000000000e+00	1.460598e+01	7.000000e+00	1.394649e+03
8.000000000000000e+00	1.405925e+01	8.000000e+00	1.941072e+03
9.000000000000000e+00	1.347420e+01	9.000000e+00	2.525987e+03
1.000000000000000e+01	1.285965e+01	1.000000e+01	3.140460e+03
1.100000000000000e+01	1.222207e+01	1.100000e+01	3.777996e+03
1.200000000000000e+01	1.157497e+01	1.200000e+01	4.424733e+03
1.300000000000000e+01	1.130453e+01	1.300000e+01	4.695467e+03
1.400000000000000e+01	1.118121e+01	1.400000e+01	4.818645e+03
1.500000000000000e+01	1.110315e+01	1.500000e+01	4.896851e+03
1.600000000000000e+01	1.104755e+01	1.600000e+01	4.950959e+03
1.700000000000000e+01	1.100562e+01	1.700000e+01	4.993843e+03
1.800000000000000e+01	1.097248e+01	1.800000e+01	5.027296e+03
1.900000000000000e+01	1.094554e+01	1.900000e+01	5.054350e+03
2.000000000000000e+01	1.092315e+01	2.000000e+01	5.076795e+03
Step Information: Vdd=17  (Step: 18/21)
0.000000000000000e+00	1.700000e+01	0.000000e+00	2.250052e-11
1.000000000000000e+00	1.700000e+01	1.000000e+00	2.250057e-11
2.000000000000000e+00	1.700000e+01	2.000000e+00	2.496613e-08
3.000000000000000e+00	1.699724e+01	3.000000e+00	2.756090e+00
4.000000000000000e+00	1.684467e+01	4.000000e+00	1.553287e+02
5.000000000000000e+00	1.652247e+01	5.000000e+00	4.775279e+02
6.000000000000000e+00	1.609685e+01	6.000000e+00	9.044233e+02
7.000000000000000e+00	1.559902e+01	7.000000e+00	1.401616e+03
8.000000000000000e+00	1.505015e+01	8.000000e+00	1.950177e+03
9.000000000000000e+00	1.446293e+01	9.000000e+00	2.537252e+03
1.000000000000000e+01	1.384621e+01	1.000000e+01	3.153902e+03
1.100000000000000e+01	1.320643e+01	1.100000e+01	3.793635e+03
1.200000000000000e+01	1.254850e+01	1.200000e+01	4.451540e+03
1.300000000000000e+01	1.208050e+01	1.300000e+01	4.919488e+03
1.400000000000000e+01	1.191579e+01	1.400000e+01	5.081668e+03
1.500000000000000e+01	1.182032e+01	1.500000e+01	5.179677e+03
1.600000000000000e+01	1.175446e+01	1.600000e+01	5.242932e+03
1.700000000000000e+01	1.170593e+01	1.700000e+01	5.293197e+03
1.800000000000000e+01	1.166807e+01	1.800000e+01	5.331600e+03
1.900000000000000e+01	1.163759e+01	1.900000e+01	5.362262e+03
2.000000000000000e+01	1.161243e+01	2.000000e+01	5.387495e+03
Step Information: Vdd=18  (Step: 19/21)
0.000000000000000e+00	1.800000e+01	0.000000e+00	2.368476e-11
1.000000000000000e+00	1.800000e+01	1.000000e+00	2.368481e-11
